Temperatura Media (C),Consumo de cerveja (litros)
"27,3",25.461
"27,02",28.972
"24,82",30.814
"23,98",29.799
"23,82",28.900
"23,78",28.218
24,29.732
"24,9",28.397
"28,2",24.886
"26,76",37.937
"27,62",36.254
"25,96",25.743
"25,52",26.990
"25,96",31.825
"25,86",25.724
"26,5",29.938
"28,86",37.690
"28,26",30.524
"28,22",29.265
"27,68",35.127
"25,32",29.130
"21,74",25.795
"21,04",21.784
"23,12",28.348
"24,4",31.088
"22,4",21.520
"23,6",29.972
"25,68",22.603
25,22.696
"22,8",26.845
"21,64",27.030
"24,16",32.057
"22,48",24.097
"23,16",31.655
"22,12",24.738
"20,28",19.950
"21,06",22.821
"21,86",28.893
"22,76",29.926
24,24.062
"23,92",21.137
"25,38",26.805
"27,66",26.389
"25,54",24.219
"24,32",30.231
"22,9",24.968
"21,6",25.343
"22,76",17.399
"22,22",21.392
"23,92",22.922
"24,72",24.567
"25,2",30.943
"24,44",30.825
"25,4",25.692
"24,3",26.959
"22,24",25.366
"24,1",22.784
"24,64",26.241
"22,4",26.467
"21,26",27.475
"22,16",28.749
"23,16",24.146
"23,68",22.988
"24,42",30.300
"22,6",22.654
"21,92",29.090
"22,2",24.619
"21,36",20.016
"23,12",23.042
"22,88",22.933
"22,26",22.409
"22,34",21.281
"22,88",28.844
"22,08",32.872
"21,92",20.903
"21,92",26.275
"21,24",20.167
"21,78",23.628
"21,64",24.213
"20,88",28.631
"19,7",25.855
"19,88",21.406
"20,98",21.617
"21,56",22.401
"22,98",27.989
"23,32",24.974
"23,28",29.760
"22,14",26.116
"22,5",25.850
"23,14",24.925
"22,52",21.979
"20,92",22.116
"21,02",24.867
"22,36",33.450
"22,82",32.713
"21,36",22.356
"17,38",21.004
"18,68",23.362
"19,4",20.298
"20,46",24.862
"21,74",30.505
"19,92",25.070
"20,88",22.620
"21,7",22.001
"21,94",23.469
"21,26",21.735
"21,42",21.593
"23,36",33.822
"22,5",28.028
24,24.304
"22,52",31.108
"20,06",19.113
"21,2",23.198
"22,52",24.388
"19,18",27.420
"19,04",30.479
"19,82",21.838
"20,26",20.812
"18,66",19.761
"16,22",20.452
"17,34",17.939
"19,26",25.272
"21,04",28.049
"19,96",25.317
"18,14",21.826
"17,76",20.680
"17,8",19.143
"16,14",18.146
"18,04",25.489
"16,94",23.537
"17,86",16.956
"17,12",19.052
"16,34",17.287
"16,72",20.300
"16,84",20.538
"17,18",23.702
"18,26",28.411
"18,6",21.073
"18,64",24.215
"18,74",19.525
"19,46",20.786
"20,26",20.429
"19,94",27.250
"21,8",31.387
"22,06",26.075
"21,28",22.162
"22,94",24.258
"18,56",24.683
"17,68",21.245
"17,52",25.937
"16,28",26.081
"16,28",16.228
"16,04",20.106
"17,94",21.055
"18,36",22.772
"18,32",25.142
"19,66",31.129
"20,62",30.498
"20,86",26.150
"20,32",21.327
"20,54",22.008
"22,72",24.615
"18,8",22.375
"21,1",29.607
"22,76",32.983
"16,02",19.119
"14,82",21.029
"19,8",23.898
"19,88",24.534
"14,66",16.748
"15,82",23.055
"17,32",28.857
"18,54",23.022
"19,02",27.146
"14,54",17.241
"14,72",19.463
"15,26",21.860
"15,34",24.227
"15,48",27.594
"17,2",24.863
"19,36",20.161
"17,78",20.824
"17,2",19.727
"17,52",14.940
"14,94",24.632
"12,9",21.294
"15,78",18.448
"16,8",21.237
"17,02",19.849
"17,54",20.740
"19,24",25.698
"17,46",26.691
"20,32",33.298
"22,06",25.640
"23,3",23.937
"20,18",28.742
"19,88",21.748
"19,14",22.032
"20,2",24.827
"19,98",32.473
"20,56",20.620
"16,72",21.825
"14,52",14.343
"17,02",19.029
"18,46",21.104
"15,9",20.738
"16,82",25.233
"16,6",18.975
"16,46",19.640
"16,2",22.522
"16,76",24.227
"19,24",24.726
"19,78",32.467
"20,1",31.663
"21,16",25.867
"21,04",27.724
"20,96",22.039
"21,06",26.127
"22,08",26.580
"21,16",31.310
"19,62",33.517
"21,2",23.181
"19,6",24.183
"20,12",24.594
"20,42",22.610
"20,86",25.479
"21,44",29.621
"20,56",26.272
"21,58",22.541
"21,3",23.070
"20,74",26.021
"16,2",17.655
"16,84",23.243
"18,08",30.177
"20,22",27.518
"16,98",23.210
"16,98",21.092
"18,92",23.357
"16,1",17.888
"16,28",22.217
"18,46",31.681
"22,52",31.833
"24,54",28.441
"21,44",22.389
"16,1",20.681
"19,3",24.222
"16,66",19.345
"16,12",21.827
"16,48",23.566
"18,72",20.227
"17,08",17.075
"18,82",16.977
"18,92",21.525
"16,88",21.454
14,21.814
"14,18",21.252
"16,46",20.464
"21,18",30.775
"25,24",25.343
"27,26",33.930
"28,06",26.311
28,31.836
"23,6",34.695
"24,72",29.829
"25,7",26.362
"26,14",32.589
"28,3",30.345
"23,24",29.411
"20,58",29.637
"22,3",32.184
"21,22",17.731
"21,8",24.114
"21,52",28.034
"20,96",22.664
"24,74",27.488
"20,28",24.876
"18,6",24.862
"17,36",24.679
"18,26",22.304
"24,5",30.329
"26,56",33.182
"24,52",23.849
"23,06",33.330
"22,48",34.496
"22,76",26.249
"21,4",26.523
"23,62",26.793
"28,12",35.861
"26,24",27.387
"21,22",32.666
"16,76",22.199
"19,86",24.000
"26,3",27.871
"24,62",31.139
"19,9",23.065
"20,5",26.594
"17,94",27.657
"17,64",26.594
"20,86",28.084
22,27.582
"20,42",24.862
"20,56",22.634
"23,86",31.649
"23,18",35.781
"20,22",24.429
"21,82",20.648
"21,86",22.741
"21,52",21.479
"21,8",23.134
"19,76",20.575
"18,3",24.330
"20,24",28.610
"22,98",28.456
"23,72",27.964
"26,2",29.569
"23,78",29.267
"22,78",28.647
"25,06",26.836
"23,06",29.386
"21,16",24.609
"21,76",26.964
"25,5",23.614
"26,16",22.960
"23,28",20.332
"19,44",30.392
"22,26",31.933
"20,8",21.662
"21,36",21.689
"21,26",25.119
"22,28",25.285
"22,28",28.979
"23,7",34.382
"22,38",30.617
"19,1",20.238
"20,1",24.529
"22,1",30.471
"22,44",28.405
"22,76",29.513
"24,8",32.451
"23,12",32.780
"20,04",23.375
"21,7",27.713
"23,96",27.137
24,22.933
"24,04",30.740
"23,92",29.579
"24,54",29.188
"26,28",28.131
"25,66",28.617
"22,04",21.062
"23,32",24.337
"26,42",27.042
"23,74",32.536
"22,84",30.127
"23,12",24.834
"24,6",26.828
"27,46",26.468
"24,72",31.572
"23,58",26.308
"23,34",21.955
24,32.307
"22,64",26.095
"21,68",22.309
"21,38",20.467
"24,76",22.446